Word;Lexeme;Person;Number;Tense;Voice;Mood;Extension;Gloss;WordOld;Aspect;Tense2;WordSyl;WordSyl2
aracisha;guca;three;sg;present cont;active;indicative;causative;to cut;aracisha;imperfective;present;.a.ra.ci.sha.;a.ra.ci.sha
aracira;guca;three;sg;present cont;active;indicative;applicative;to cut;aracira;imperfective;present;.a.ra.ci.ra.;a.ra.ci.ra
aracana;guca;three;sg;present cont;active;indicative;comitative;to cut;aracana;imperfective;present;.a.ra.ca.na.;a.ra.ca.na
aracagagura;guca;three;sg;present cont;active;indicative;frequentative;to cut;aracagagura;imperfective;present;.a.ra.ca.ga.gu.ra.;a.ra.ca.ga.gu.ra
aracurura;guca;three;sg;present cont;active;indicative;iterative;to cut;aracurura;imperfective;present;.a.ra.cu.ru.ra.;a.ra.cu.ru.ra
aracura;guca;three;sg;present cont;active;indicative;reversive;to cut;aracura;imperfective;present;.a.ra.cu.ra.;a.ra.cu.ra
turaca;guca;one;pl;present cont;active;indicative;neutral;to cut;turaca;imperfective;present;.tu.ra.ca.;tu.ra.ca
turacisha;guca;one;pl;present cont;active;indicative;causative;to cut;turacisha;imperfective;present;.tu.ra.ci.sha.;tu.ra.ci.sha
turacira;guca;one;pl;present cont;active;indicative;applicative;to cut;turacira;imperfective;present;.tu.ra.ci.ra.;tu.ra.ci.ra
turacana;guca;one;pl;present cont;active;indicative;comitative;to cut;turacana;imperfective;present;.tu.ra.ca.na.;tu.ra.ca.na
turacagagura;guca;one;pl;present cont;active;indicative;frequentative;to cut;turacagagura;imperfective;present;.tu.ra.ca.ga.gu.ra.;tu.ra.ca.ga.gu.ra
turacurura;guca;one;pl;present cont;active;indicative;iterative;to cut;turacurura;imperfective;present;.tu.ra.cu.ru.ra.;tu.ra.cu.ru.ra
turacura;guca;one;pl;present cont;active;indicative;reversive;to cut;turacura;imperfective;present;.tu.ra.cu.ra.;tu.ra.cu.ra
muraca;guca;two;pl;present cont;active;indicative;neutral;to cut;muraca;imperfective;present;.mu.ra.ca.;mu.ra.ca
muracisha;guca;two;pl;present cont;active;indicative;causative;to cut;muracisha;imperfective;present;.mu.ra.ci.sha.;mu.ra.ci.sha
muracira;guca;two;pl;present cont;active;indicative;applicative;to cut;muracira;imperfective;present;.mu.ra.ci.ra.;mu.ra.ci.ra
muracana;guca;two;pl;present cont;active;indicative;comitative;to cut;muracan;imperfective;present;.mu.ra.ca.na.;mu.ra.ca.na
muracagagura;guca;two;pl;present cont;active;indicative;frequentative;to cut;muracagagura;imperfective;present;.mu.ra.ca.ga.gu.ra.;mu.ra.ca.ga.gu.ra
muracurura;guca;two;pl;present cont;active;indicative;iterative;to cut;muracurura;imperfective;present;.mu.ra.cu.ru.ra.;mu.ra.cu.ru.ra
muracura;guca;two;pl;present cont;active;indicative;reversive;to cut;muracura;imperfective;present;.mu.ra.cu.ra.;mu.ra.cu.ra
baraca;guca;three;pl;present cont;active;indicative;neutral;to cut;baraca;imperfective;present;.ba.ra.ca.;ba.ra.ca
baracisha;guca;three;pl;present cont;active;indicative;causative;to cut;baracisha;imperfective;present;.ba.ra.ci.sha.;ba.ra.ci.sha
baracira;guca;three;pl;present cont;active;indicative;applicative;to cut;baracira;imperfective;present;.ba.ra.ci.ra.;ba.ra.ci.ra
baracana;guca;three;pl;present cont;active;indicative;comitative;to cut;baracana;imperfective;present;.ba.ra.ca.na.;ba.ra.ca.na
baracagagura;guca;three;pl;present cont;active;indicative;frequentative;to cut;baracagagura;imperfective;present;.ba.ra.ca.ga.gu.ra.;ba.ra.ca.ga.gu.ra
baracurura;guca;three;pl;present cont;active;indicative;iterative;to cut;baracurura;imperfective;present;.ba.ra.cu.ru.ra.;ba.ra.cu.ru.ra
baracura;guca;three;pl;present cont;active;indicative;reversive;to cut;baracura;imperfective;present;.ba.ra.cu.ra.;ba.ra.cu.ra
ndacibwa;guca;one;sg;present cont;passive;indicative;neutral;to cut;ndacibwa;imperfective;present;.nda.ci.bwa.;nda.ci.bwa
ndacishwa;guca;one;sg;present cont;passive;indicative;causative;to cut;ndacishwa;imperfective;present;.nda.ci.shwa.;nda.ci.shwa
ndacirwa;guca;one;sg;present cont;passive;indicative;applicative;to cut;ndacirwa;imperfective;present;.nda.ci.rwa.;nda.ci.rwa
ndacanwa;guca;one;sg;present cont;passive;indicative;comitative;to cut;ndacanwa;imperfective;present;.nda.ca.nwa.;nda.ca.nwa
ndacagagurwa;guca;one;sg;present cont;passive;indicative;frequentative;to cut;ndacagagurwa;imperfective;present;.nda.ca.ga.gu.rwa.;nda.ca.ga.gu.rwa
ndacurururwa;guca;one;sg;present cont;passive;indicative;iterative;to cut;ndacurururwa;imperfective;present;.nda.cu.ru.ru.rwa.;nda.cu.ru.ru.rwa
ndacururwa;guca;one;sg;present cont;passive;indicative;reversive;to cut;ndacururwa;imperfective;present;.nda.cu.ru.rwa.;nda.cu.ru.rwa
uracibwa;guca;two;sg;present cont;passive;indicative;neutral;to cut;uracibwa;imperfective;present;.u.ra.ci.bwa.;u.ra.ci.bwa
uracishwa;guca;two;sg;present cont;passive;indicative;causative;to cut;uracishwa;imperfective;present;.u.ra.ci.shwa.;u.ra.ci.shwa
uracirwa;guca;two;sg;present cont;passive;indicative;applicative;to cut;uracirwa;imperfective;present;.u.ra.ci.rwa.;u.ra.ci.rwa
uracanwa;guca;two;sg;present cont;passive;indicative;comitative;to cut;uracanwa;imperfective;present;.u.ra.ca.nwa.;u.ra.ca.nwa
uracagagurwa;guca;two;sg;present cont;passive;indicative;frequentative;to cut;uracagagurwa;imperfective;present;.u.ra.ca.ga.gu.rwa.;u.ra.ca.ga.gu.rwa
uracurururwa;guca;two;sg;present cont;passive;indicative;iterative;to cut;uracurururwa;imperfective;present;.u.ra.cu.ru.ru.rwa.;u.ra.cu.ru.ru.rwa
uracururwa;guca;two;sg;present cont;passive;indicative;reversive;to cut;uracururwa;imperfective;present;.u.ra.cu.ru.rwa.;u.ra.cu.ru.rwa
aracibwa;guca;three;sg;present cont;passive;indicative;neutral;to cut;aracibwa;imperfective;present;.a.ra.ci.bwa.;a.ra.ci.bwa
aracishwa;guca;three;sg;present cont;passive;indicative;causative;to cut;aracishwa;imperfective;present;.a.ra.ci.shwa.;a.ra.ci.shwa
aracirwa;guca;three;sg;present cont;passive;indicative;applicative;to cut;aracirwa;imperfective;present;.a.ra.ci.rwa.;a.ra.ci.rwa
aracanwa;guca;three;sg;present cont;passive;indicative;comitative;to cut;aracanwa;imperfective;present;.a.ra.ca.nwa.;a.ra.ca.nwa
aracagagurwa;guca;three;sg;present cont;passive;indicative;frequentative;to cut;aracagagurwa;imperfective;present;.a.ra.ca.ga.gu.rwa.;a.ra.ca.ga.gu.rwa
aracurururwa;guca;three;sg;present cont;passive;indicative;iterative;to cut;aracurururwa;imperfective;present;.a.ra.cu.ru.ru.rwa.;a.ra.cu.ru.ru.rwa
aracururwa;guca;three;sg;present cont;passive;indicative;reversive;to cut;aracururwa;imperfective;present;.a.ra.cu.ru.rwa.;a.ra.cu.ru.rwa
turacibwa;guca;one;pl;present cont;passive;indicative;neutral;to cut;turacibwa;imperfective;present;.tu.ra.ci.bwa.;tu.ra.ci.bwa
turacishwa;guca;one;pl;present cont;passive;indicative;causative;to cut;turacishwa;imperfective;present;.tu.ra.ci.shwa.;tu.ra.ci.shwa
turacirwa;guca;one;pl;present cont;passive;indicative;applicative;to cut;turacirwa;imperfective;present;.tu.ra.ci.rwa.;tu.ra.ci.rwa
turacanwa;guca;one;pl;present cont;passive;indicative;comitative;to cut;turacanwa;imperfective;present;.tu.ra.ca.nwa.;tu.ra.ca.nwa
turacagagurwa;guca;one;pl;present cont;passive;indicative;frequentative;to cut;turacagagurwa;imperfective;present;.tu.ra.ca.ga.gu.rwa.;tu.ra.ca.ga.gu.rwa
turacurururwa;guca;one;pl;present cont;passive;indicative;iterative;to cut;turacurururwa;imperfective;present;.tu.ra.cu.ru.ru.rwa.;tu.ra.cu.ru.ru.rwa
turacururwa;guca;one;pl;present cont;passive;indicative;reversive;to cut;turacururwa;imperfective;present;.tu.ra.cu.ru.rwa.;tu.ra.cu.ru.rwa
muracibwa;guca;two;pl;present cont;passive;indicative;neutral;to cut;muracibwa;imperfective;present;.mu.ra.ci.bwa.;mu.ra.ci.bwa
muracishwa;guca;two;pl;present cont;passive;indicative;causative;to cut;muracishwa;imperfective;present;.mu.ra.ci.shwa.;mu.ra.ci.shwa
muracirwa;guca;two;pl;present cont;passive;indicative;applicative;to cut;muracirwa;imperfective;present;.mu.ra.ci.rwa.;mu.ra.ci.rwa
muracanwa;guca;two;pl;present cont;passive;indicative;comitative;to cut;muracanwa;imperfective;present;.mu.ra.ca.nwa.;mu.ra.ca.nwa
muracagagurwa;guca;two;pl;present cont;passive;indicative;frequentative;to cut;muracagagurwa;imperfective;present;.mu.ra.ca.ga.gu.rwa.;mu.ra.ca.ga.gu.rwa
muracurururwa;guca;two;pl;present cont;passive;indicative;iterative;to cut;muracurururwa;imperfective;present;.mu.ra.cu.ru.ru.rwa.;mu.ra.cu.ru.ru.rwa
muracururwa;guca;two;pl;present cont;passive;indicative;reversive;to cut;muracururwa;imperfective;present;.mu.ra.cu.ru.rwa.;mu.ra.cu.ru.rwa
baracibwa;guca;three;pl;present cont;passive;indicative;neutral;to cut;baracibwa;imperfective;present;.ba.ra.ci.bwa.;ba.ra.ci.bwa
baracishwa;guca;three;pl;present cont;passive;indicative;causative;to cut;baracishwa;imperfective;present;.ba.ra.ci.shwa.;ba.ra.ci.shwa
baracirwa;guca;three;pl;present cont;passive;indicative;applicative;to cut;baracirwa;imperfective;present;.ba.ra.ci.rwa.;ba.ra.ci.rwa
baracanwa;guca;three;pl;present cont;passive;indicative;comitative;to cut;baracanwa;imperfective;present;.ba.ra.ca.nwa.;ba.ra.ca.nwa
baracagagurwa;guca;three;pl;present cont;passive;indicative;frequentative;to cut;baracagagurwa;imperfective;present;.ba.ra.ca.ga.gu.rwa.;ba.ra.ca.ga.gu.rwa
baracurururwa;guca;three;pl;present cont;passive;indicative;iterative;to cut;baracurururwa;imperfective;present;.ba.ra.cu.ru.ru.rwa.;ba.ra.cu.ru.ru.rwa
baracururwa;guca;three;pl;present cont;passive;indicative;reversive;to cut;baracururwa;imperfective;present;.ba.ra.cu.ru.rwa.;ba.ra.cu.ru.rwa
nca;guca;one;sg;present;active;indicative;neutral;to cut;nca;perfective;present;.nca.;nca
ncisha;guca;one;sg;present;active;indicative;causative;to cut;ncisha;perfective;present;.nci.sha.;nci.sha
ncira;guca;one;sg;present;active;indicative;applicative;to cut;ncira;perfective;present;.nci.ra.;nci.ra
ncana;guca;one;sg;present;active;indicative;comitative;to cut;ncana;perfective;present;.nca.na.;nca.na
ncagagura;guca;one;sg;present;active;indicative;frequentative;to cut;ncagagura;perfective;present;.nca.ga.gu.ra.;nca.ga.gu.ra
ncururura;guca;one;sg;present;active;indicative;iterative;to cut;ncururura;perfective;present;.ncu.ru.ru.ra.;ncu.ru.ru.ra
ncurura;guca;one;sg;present;active;indicative;reversive;to cut;ncurura;perfective;present;.ncu.ru.ra.;ncu.ru.ra
uca;guca;two;sg;present;active;indicative;neutral;to cut;uca;perfective;present;.u.ca.;u.ca
ucisha;guca;two;sg;present;active;indicative;causative;to cut;ucisha;perfective;present;.u.ci.sha.;u.ci.sha
ucira;guca;two;sg;present;active;indicative;applicative;to cut;ucira;perfective;present;.u.ci.ra.;u.ci.ra
ucana;guca;two;sg;present;active;indicative;comitative;to cut;ucana;perfective;present;.u.ca.na.;u.ca.na
ucagagura;guca;two;sg;present;active;indicative;frequentative;to cut;ucagagura;perfective;present;.u.ca.ga.gu.ra.;u.ca.ga.gu.ra
ucurura;guca;two;sg;present;active;indicative;iterative;to cut;ucurura;perfective;present;.u.cu.ru.ra.;u.cu.ru.ra
ucura;guca;two;sg;present;active;indicative;reversive;to cut;ucura;perfective;present;.u.cu.ra.;u.cu.ra
aca;guca;three;sg;present;active;indicative;neutral;to cut;aca;perfective;present;.a.ca.;a.ca
acisha;guca;three;sg;present;active;indicative;causative;to cut;acisha;perfective;present;.a.ci.sha.;a.ci.sha
acira;guca;three;sg;present;active;indicative;applicative;to cut;acira;perfective;present;.a.ci.ra.;a.ci.ra
acana;guca;three;sg;present;active;indicative;comitative;to cut;acana;perfective;present;.a.ca.na.;a.ca.na
acagagura;guca;three;sg;present;active;indicative;frequentative;to cut;acagagura;perfective;present;.a.ca.ga.gu.ra.;a.ca.ga.gu.ra
acurura;guca;three;sg;present;active;indicative;iterative;to cut;acurura;perfective;present;.a.cu.ru.ra.;a.cu.ru.ra
acura;guca;three;sg;present;active;indicative;reversive;to cut;acura;perfective;present;.a.cu.ra.;a.cu.ra
duca;guca;one;pl;present;active;indicative;neutral;to cut;duca;perfective;present;.du.ca.;du.ca
ducisha;guca;one;pl;present;active;indicative;causative;to cut;ducisha;perfective;present;.du.ci.sha.;du.ci.sha
ducira;guca;one;pl;present;active;indicative;applicative;to cut;ducira;perfective;present;.du.ci.ra.;du.ci.ra
ducana;guca;one;pl;present;active;indicative;comitative;to cut;ducana;perfective;present;.du.ca.na.;du.ca.na
ducagagura;guca;one;pl;present;active;indicative;frequentative;to cut;ducagagura;perfective;present;.du.ca.ga.gu.ra.;du.ca.ga.gu.ra
ducurura;guca;one;pl;present;active;indicative;iterative;to cut;ducurura;perfective;present;.du.cu.ru.ra.;du.cu.ru.ra
ducura;guca;one;pl;present;active;indicative;reversive;to cut;ducura;perfective;present;.du.cu.ra.;du.cu.ra
muca;guca;two;pl;present;active;indicative;neutral;to cut;muca;perfective;present;.mu.ca.;mu.ca
mucisha;guca;two;pl;present;active;indicative;causative;to cut;mucisha;perfective;present;.mu.ci.sha.;mu.ci.sha
mucira;guca;two;pl;present;active;indicative;applicative;to cut;mucira;perfective;present;.mu.ci.ra.;mu.ci.ra
mucana;guca;two;pl;present;active;indicative;comitative;to cut;mucana;perfective;present;.mu.ca.na.;mu.ca.na
mucagagura;guca;two;pl;present;active;indicative;frequentative;to cut;mucagagura;perfective;present;.mu.ca.ga.gu.ra.;mu.ca.ga.gu.ra
mucurura;guca;two;pl;present;active;indicative;iterative;to cut;mucurura;perfective;present;.mu.cu.ru.ra.;mu.cu.ru.ra
mucura;guca;two;pl;present;active;indicative;reversive;to cut;mucura;perfective;present;.mu.cu.ra.;mu.cu.ra
baca;guca;three;pl;present;active;indicative;neutral;to cut;baca;perfective;present;.ba.ca.;ba.ca
bacisha;guca;three;pl;present;active;indicative;causative;to cut;bacisha;perfective;present;.ba.ci.sha.;ba.ci.sha
bacira;guca;three;pl;present;active;indicative;applicative;to cut;bacira;perfective;present;.ba.ci.ra.;ba.ci.ra
bacana;guca;three;pl;present;active;indicative;comitative;to cut;bacana;perfective;present;.ba.ca.na.;ba.ca.na
bacagagura;guca;three;pl;present;active;indicative;frequentative;to cut;bacagagura;perfective;present;.ba.ca.ga.gu.ra.;ba.ca.ga.gu.ra
bacurura;guca;three;pl;present;active;indicative;iterative;to cut;bacurura;perfective;present;.ba.cu.ru.ra.;ba.cu.ru.ra
bacura;guca;three;pl;present;active;indicative;reversive;to cut;bacura;perfective;present;.ba.cu.ra.;ba.cu.ra
nce;guca;one;sg;present;active;subjunctive;neutral;to cut;nce;perfective;present;.nce.;nce
ncishe;guca;one;sg;present;active;subjunctive;causative;to cut;ncishe;perfective;present;.nci.she.;nci.she
ncire;guca;one;sg;present;active;subjunctive;applicative;to cut;ncire;perfective;present;.nci.re.;nci.re
ncane;guca;one;sg;present;active;subjunctive;comitative;to cut;ncane;perfective;present;.nca.ne.;nca.ne
ncagure;guca;one;sg;present;active;subjunctive;frequentative;to cut;ncagure;perfective;present;.nca.gu.re.;nca.gu.re
ncurure;guca;one;sg;present;active;subjunctive;iterative;to cut;ncurure;perfective;present;.ncu.ru.re.;ncu.ru.re
ncure;guca;one;sg;present;active;subjunctive;reversive;to cut;ncure;perfective;present;.ncu.re.;ncu.re
uce;guca;two;sg;present;active;subjunctive;neutral;to cut;uce;perfective;present;.u.ce.;u.ce
ucishe;guca;two;sg;present;active;subjunctive;causative;to cut;ucishe;perfective;present;.u.ci.she.;u.ci.she
ucire;guca;two;sg;present;active;subjunctive;applicative;to cut;ucire;perfective;present;.u.ci.re.;u.ci.re
ucane;guca;two;sg;present;active;subjunctive;comitative;to cut;ucane;perfective;present;.u.ca.ne.;u.ca.ne
ucagugure;guca;two;sg;present;active;subjunctive;frequentative;to cut;ucagugure;perfective;present;.u.ca.gu.gu.re.;u.ca.gu.gu.re
ucurure;guca;two;sg;present;active;subjunctive;iterative;to cut;ucurure;perfective;present;.u.cu.ru.re.;u.cu.ru.re
ucure;guca;two;sg;present;active;subjunctive;reversive;to cut;ucure;perfective;present;.u.cu.re.;u.cu.re
ace;guca;three;sg;present;active;subjunctive;neutral;to cut;ace;perfective;present;.a.ce.;a.ce
acishe;guca;three;sg;present;active;subjunctive;causative;to cut;acishe;perfective;present;.a.ci.she.;a.ci.she
acire;guca;three;sg;present;active;subjunctive;applicative;to cut;acire;perfective;present;.a.ci.re.;a.ci.re
acane;guca;three;sg;present;active;subjunctive;comitative;to cut;acane;perfective;present;.a.ca.ne.;a.ca.ne
acagagure;guca;three;sg;present;active;subjunctive;frequentative;to cut;acagagure;perfective;present;.a.ca.ga.gu.re.;a.ca.ga.gu.re
acurure;guca;three;sg;present;active;subjunctive;iterative;to cut;acurure;perfective;present;.a.cu.ru.re.;a.cu.ru.re
acure;guca;three;sg;present;active;subjunctive;reversive;to cut;acure;perfective;present;.a.cu.re.;a.cu.re
duce;guca;one;pl;present;active;subjunctive;neutral;to cut;duce;perfective;present;.du.ce.;du.ce
ducishe;guca;one;pl;present;active;subjunctive;causative;to cut;ducishe;perfective;present;.du.ci.she.;du.ci.she
ducire;guca;one;pl;present;active;subjunctive;applicative;to cut;ducire;perfective;present;.du.ci.re.;du.ci.re
ducane;guca;one;pl;present;active;subjunctive;comitative;to cut;ducane;perfective;present;.du.ca.ne.;du.ca.ne
ducagagure;guca;one;pl;present;active;subjunctive;frequentative;to cut;ducagagure;perfective;present;.du.ca.ga.gu.re.;du.ca.ga.gu.re
ducurure;guca;one;pl;present;active;subjunctive;iterative;to cut;ducurure;perfective;present;.du.cu.ru.re.;du.cu.ru.re
ducure;guca;one;pl;present;active;subjunctive;reversive;to cut;ducure;perfective;present;.du.cu.re.;du.cu.re
muce;guca;two;pl;present;active;subjunctive;neutral;to cut;muce;perfective;present;.mu.ce.;mu.ce
mucishe;guca;two;pl;present;active;subjunctive;causative;to cut;mucishe;perfective;present;.mu.ci.she.;mu.ci.she
mucire;guca;two;pl;present;active;subjunctive;applicative;to cut;mucire;perfective;present;.mu.ci.re.;mu.ci.re
mucane;guca;two;pl;present;active;subjunctive;comitative;to cut;mucane;perfective;present;.mu.ca.ne.;mu.ca.ne
mucagagure;guca;two;pl;present;active;subjunctive;frequentative;to cut;mucagagure;perfective;present;.mu.ca.ga.gu.re.;mu.ca.ga.gu.re
mucurure;guca;two;pl;present;active;subjunctive;iterative;to cut;mucurure;perfective;present;.mu.cu.ru.re.;mu.cu.ru.re
mucure;guca;two;pl;present;active;subjunctive;reversive;to cut;mucure;perfective;present;.mu.cu.re.;mu.cu.re
bace;guca;three;pl;present;active;subjunctive;neutral;to cut;bace;perfective;present;.ba.ce.;ba.ce
bacishe;guca;three;pl;present;active;subjunctive;causative;to cut;bacishe;perfective;present;.ba.ci.she.;ba.ci.she
bacire;guca;three;pl;present;active;subjunctive;applicative;to cut;bacire;perfective;present;.ba.ci.re.;ba.ci.re
bacane;guca;three;pl;present;active;subjunctive;comitative;to cut;bacane;perfective;present;.ba.ca.ne.;ba.ca.ne
bacagagure;guca;three;pl;present;active;subjunctive;frequentative;to cut;bacagagure;perfective;present;.ba.ca.ga.gu.re.;ba.ca.ga.gu.re
bacurure;guca;three;pl;present;active;subjunctive;iterative;to cut;bacurure;perfective;present;.ba.cu.ru.re.;ba.cu.ru.re
bacure;guca;three;pl;present;active;subjunctive;reversive;to cut;bacure;perfective;present;.ba.cu.re.;ba.cu.re
ca;guca;two;sg;present;active;imperative;neutral;to cut;ca;perfective;present;.ca.;ca
cisha;guca;two;sg;present;active;imperative;causative;to cut;cisha;perfective;present;.ci.sha.;ci.sha
cira;guca;two;sg;present;active;imperative;applicative;to cut;cira;perfective;present;.ci.ra.;ci.ra
cana;guca;two;sg;present;active;imperative;comitative;to cut;cana;perfective;present;.ca.na.;ca.na
cagagura;guca;two;sg;present;active;imperative;frequentative;to cut;cagagura;perfective;present;.ca.ga.gu.ra.;ca.ga.gu.ra
curura;guca;two;sg;present;active;imperative;iterative;to cut;curura;perfective;present;.cu.ru.ra.;cu.ru.ra
cura;guca;two;sg;present;active;imperative;reversive;to cut;cura;perfective;present;.cu.ra.;cu.ra
nimuce;guca;two;pl;present;active;imperative;neutral;to cut;nimuce;perfective;present;.ni.mu.ce.;ni.mu.ce
nimucishe;guca;two;pl;present;active;imperative;causative;to cut;nimucishe;perfective;present;.ni.mu.ci.she.;ni.mu.ci.she
nimucire;guca;two;pl;present;active;imperative;applicative;to cut;nimucire;perfective;present;.ni.mu.ci.re.;ni.mu.ci.re
nimucane;guca;two;pl;present;active;imperative;comitative;to cut;nimucane;perfective;present;.ni.mu.ca.ne.;ni.mu.ca.ne
nimucagagure;guca;two;pl;present;active;imperative;frequentative;to cut;nimucagagure;perfective;present;.ni.mu.ca.ga.gu.re.;ni.mu.ca.ga.gu.re
nimucurure;guca;two;pl;present;active;imperative;iterative;to cut;nimucurure;perfective;present;.ni.mu.cu.ru.re.;ni.mu.cu.ru.re
nimucure;guca;two;pl;present;active;imperative;reversive;to cut;nimucure;perfective;present;.ni.mu.cu.re.;ni.mu.cu.re
ncibwa;guca;one;sg;present;passive;indicative;neutral;to cut;ncibwa;perfective;present;.nci.bwa.;nci.bwa
ncishwa;guca;one;sg;present;passive;indicative;causative;to cut;ncishwa;perfective;present;.nci.shwa.;nci.shwa
ncirwa;guca;one;sg;present;passive;indicative;applicative;to cut;ncirwa;perfective;present;.nci.rwa.;nci.rwa
ncanwa;guca;one;sg;present;passive;indicative;comitative;to cut;ncanwa;perfective;present;.nca.nwa.;nca.nwa
ncagagurwa;guca;one;sg;present;passive;indicative;frequentative;to cut;ncagagurwa;perfective;present;.nca.ga.gu.rwa.;nca.ga.gu.rwa
ncurururwa;guca;one;sg;present;passive;indicative;iterative;to cut;ncurururwa;perfective;present;.ncu.ru.ru.rwa.;ncu.ru.ru.rwa
ncururwa;guca;one;sg;present;passive;indicative;reversive;to cut;ncururwa;perfective;present;.ncu.ru.rwa.;ncu.ru.rwa
ucibwa;guca;two;sg;present;passive;indicative;neutral;to cut;ucibwa;perfective;present;.u.ci.bwa.;u.ci.bwa
ucishwa;guca;two;sg;present;passive;indicative;causative;to cut;ucishwa;perfective;present;.u.ci.shwa.;u.ci.shwa
ucirwa;guca;two;sg;present;passive;indicative;applicative;to cut;ucirwa;perfective;present;.u.ci.rwa.;u.ci.rwa
ucanwa;guca;two;sg;present;passive;indicative;comitative;to cut;ucanwa;perfective;present;.u.ca.nwa.;u.ca.nwa
ucagagurwa;guca;two;sg;present;passive;indicative;frequentative;to cut;ucagagurwa;perfective;present;.u.ca.ga.gu.rwa.;u.ca.ga.gu.rwa
ucururwa;guca;two;sg;present;passive;indicative;iterative;to cut;ucururwa;perfective;present;.u.cu.ru.rwa.;u.cu.ru.rwa
ucurwa;guca;two;sg;present;passive;indicative;reversive;to cut;ucurwa;perfective;present;.u.cu.rwa.;u.cu.rwa
acibwa;guca;three;sg;present;passive;indicative;neutral;to cut;acibwa;perfective;present;.a.ci.bwa.;a.ci.bwa
acishwa;guca;three;sg;present;passive;indicative;causative;to cut;acishwa;perfective;present;.a.ci.shwa.;a.ci.shwa
acirwa;guca;three;sg;present;passive;indicative;applicative;to cut;acirwa;perfective;present;.a.ci.rwa.;a.ci.rwa
acanwa;guca;three;sg;present;passive;indicative;comitative;to cut;acanwa;perfective;present;.a.ca.nwa.;a.ca.nwa
acagagurwa;guca;three;sg;present;passive;indicative;frequentative;to cut;acagagurwa;perfective;present;.a.ca.ga.gu.rwa.;a.ca.ga.gu.rwa
acurururwa;guca;three;sg;present;passive;indicative;iterative;to cut;acurururwa;perfective;present;.a.cu.ru.ru.rwa.;a.cu.ru.ru.rwa
acururwa;guca;three;sg;present;passive;indicative;reversive;to cut;acururwa;perfective;present;.a.cu.ru.rwa.;a.cu.ru.rwa
ducibwa;guca;one;pl;present;passive;indicative;neutral;to cut;ducibwa;perfective;present;.du.ci.bwa.;du.ci.bwa
ducishwa;guca;one;pl;present;passive;indicative;causative;to cut;ducishwa;perfective;present;.du.ci.shwa.;du.ci.shwa
ducirwa;guca;one;pl;present;passive;indicative;applicative;to cut;ducirwa;perfective;present;.du.ci.rwa.;du.ci.rwa
ducanwa;guca;one;pl;present;passive;indicative;comitative;to cut;ducanwa;perfective;present;.du.ca.nwa.;du.ca.nwa
ducagagurwa;guca;one;pl;present;passive;indicative;frequentative;to cut;ducagagurwa;perfective;present;.du.ca.ga.gu.rwa.;du.ca.ga.gu.rwa
ducurururwa;guca;one;pl;present;passive;indicative;iterative;to cut;ducurururwa;perfective;present;.du.cu.ru.ru.rwa.;du.cu.ru.ru.rwa
ducururwa;guca;one;pl;present;passive;indicative;reversive;to cut;ducururwa;perfective;present;.du.cu.ru.rwa.;du.cu.ru.rwa
mucibwa;guca;two;pl;present;passive;indicative;neutral;to cut;mucibwa;perfective;present;.mu.ci.bwa.;mu.ci.bwa
